Epoch,IOU_Train,IOU_Val
978,0.7830,0.4698
979,0.7828,0.4221
980,0.7829,0.4177
981,0.7829,0.3463
982,0.7836,0.3887
983,0.7829,0.3496
984,0.7828,0.2287
985,0.7832,0.3514
986,0.7837,0.3893
987,0.7828,0.3854
988,0.7832,0.3429
989,0.7835,0.3735
990,0.7832,0.3341
991,0.7836,0.3093
992,0.7835,0.4763
993,0.7834,0.4015
994,0.7831,0.4008
995,0.7834,0.3651
996,0.7834,0.3060
997,0.7830,0.3280
998,0.7836,0.3894
999,0.7840,0.4228
1000,0.7837,0.4223
1001,0.7834,0.4225
1002,0.7836,0.3759
1003,0.7837,0.4525
1004,0.7834,0.3799
1005,0.7832,0.4017
1006,0.7837,0.4265
1007,0.7837,0.3136
1008,0.7836,0.4147
1009,0.7835,0.3947
1010,0.7834,0.3280
1011,0.7839,0.4330
1012,0.7837,0.3616
1013,0.7836,0.3426
1014,0.7836,0.3377
1015,0.7837,0.4675
1016,0.7840,0.3312
1017,0.7838,0.4005
1018,0.7837,0.3727
1019,0.7837,0.4002
1020,0.7837,0.4347
1021,0.7835,0.4412
1022,0.7843,0.3557
1023,0.7841,0.3617
1024,0.7841,0.2991
1025,0.7837,0.4114
1026,0.7839,0.4153
1027,0.7837,0.3450
1028,0.7841,0.2976
1029,0.7836,0.2942
1030,0.7840,0.3600
1031,0.7839,0.2263
1032,0.7843,0.4299
1033,0.7841,0.4246
1034,0.7841,0.4493
1035,0.7840,0.4862
1036,0.7836,0.4288
1037,0.7840,0.3730
1038,0.7844,0.4168
1039,0.7842,0.4097
1040,0.7842,0.4000
1041,0.7846,0.4061
1042,0.7844,0.4184
1043,0.7840,0.3290
1044,0.7843,0.3897
1045,0.7844,0.3424
1046,0.7845,0.2274
1047,0.7843,0.4327
1048,0.7845,0.3972
1049,0.7837,0.4004
1050,0.7845,0.3221
1051,0.7846,0.4819
1052,0.7845,0.4024
1053,0.7844,0.3928
1054,0.7844,0.3564
1055,0.7847,0.3881
1056,0.7847,0.3396
1057,0.7842,0.4224
1058,0.7846,0.3650
1059,0.7845,0.3862
1060,0.7843,0.4847
1061,0.7847,0.4665
1062,0.7845,0.2957
1063,0.7852,0.4435
1064,0.7849,0.3563
1065,0.7845,0.3630
1066,0.7847,0.2303
1067,0.7848,0.3839
1068,0.7848,0.3948
1069,0.7848,0.4867
1070,0.7845,0.4101
1071,0.7849,0.3479
1072,0.7850,0.2510
1073,0.7850,0.3933
1074,0.7848,0.4253
1075,0.7849,0.3865
1076,0.7848,0.4293
1077,0.7847,0.4008
1078,0.7848,0.4197
1079,0.7847,0.3391
1080,0.7848,0.2958
1081,0.7851,0.3483
1082,0.7851,0.4123
1083,0.7851,0.3794
1084,0.7853,0.3765
1085,0.7850,0.4043
1086,0.7854,0.3689
1087,0.7850,0.4605
1088,0.7850,0.3526
1089,0.7851,0.4650
1090,0.7849,0.3299
1091,0.7853,0.3707
1092,0.7852,0.4424
1093,0.7850,0.4656
1094,0.7853,0.3704
1095,0.7853,0.3908
1096,0.7852,0.3879
1097,0.7853,0.4374
1098,0.7855,0.4593
1099,0.7852,0.4414
1100,0.7852,0.4756
1101,0.7851,0.4287
1102,0.7856,0.4084
1103,0.7851,0.3820
1104,0.7851,0.2902
1105,0.7853,0.4793
1106,0.7856,0.2611
1107,0.7854,0.3203
1108,0.7856,0.4146
1109,0.7853,0.4278
1110,0.7857,0.2584
1111,0.7856,0.3714
1112,0.7856,0.4476
1113,0.7854,0.4030
1114,0.7855,0.4106
1115,0.7858,0.4572
1116,0.7857,0.3789
1117,0.7854,0.3543
1118,0.7857,0.3564
1119,0.7855,0.4755
1120,0.7858,0.3986
1121,0.7855,0.3926
1122,0.7854,0.4012
1123,0.7857,0.2962
1124,0.7857,0.3903
1125,0.7858,0.3093
1126,0.7856,0.2960
1127,0.7858,0.4567
1128,0.7855,0.3775
1129,0.7860,0.4018
1130,0.7855,0.2960
1131,0.7858,0.3556
1132,0.7863,0.3631
1133,0.7854,0.3432
1134,0.7858,0.4097
1135,0.7858,0.4558
1136,0.7859,0.2723
1137,0.7859,0.3534
1138,0.7864,0.4381
1139,0.7854,0.3539
1140,0.7861,0.4377
1141,0.7859,0.3787
1142,0.7857,0.4310
1143,0.7859,0.2143
1144,0.7861,0.3691
1145,0.7860,0.4028
1146,0.7859,0.3922
